City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Baghdad,IQ,84.2,clear sky,33.3406,44.4009,Baghdad Hotel
8,Rosetta,EG,86.0,clear sky,31.4044,30.4164,Green Valley
9,Dondo,MZ,75.2,scattered clouds,-19.6094,34.7431,Arco Iris
15,Rikitea,PF,76.96,clear sky,-23.1203,-134.9692,Pension Maro'i
16,Grand Gaube,MU,77.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
17,Namibe,AO,81.41,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
19,Mahwa,IN,87.6,clear sky,27.0471,76.9288,Hotel Sagar Sangam - By Pt. Pandit Ji
20,Faanui,PF,82.02,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
22,Camopi,GF,80.85,broken clouds,3.1655,-52.3158,
23,Rawson,AR,75.85,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
27,Georgetown,MY,84.2,scattered clouds,5.4112,100.3354,Cititel Penang
29,Atuona,PF,80.87,overcast clouds,-9.8,-139.0333,Villa Enata
31,Tete,MZ,75.2,broken clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
34,Winneba,GH,84.2,few clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
35,Cabo San Lucas,MX,79.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
37,Ambilobe,MG,75.65,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
41,Itaituba,BR,78.8,overcast clouds,-4.2761,-55.9836,Hotel Campos
47,Mandera,KE,88.38,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
50,Muscat,OM,82.4,clear sky,23.6139,58.5922,Mutrah Hotel
51,Bambous Virieux,MU,77.0,moderate rain,-20.3428,57.7575,Casa Tia Villa
54,Marsa Matruh,EG,77.0,haze,31.3525,27.2453,Beau Site
57,Port Blair,IN,82.08,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
59,Rio Grande,BR,78.8,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
66,Tucupita,VE,89.49,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
67,Salamiyah,SY,79.5,scattered clouds,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
69,Kirakira,SB,79.65,broken clouds,-10.4544,161.9205,SanBiz Lodge
73,Buraydah,SA,87.8,clear sky,26.326,43.975,فندق راحة السلام
81,Kavaratti,IN,84.72,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
82,Bredasdorp,ZA,77.0,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
86,Mahajanga,MG,84.2,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
87,Porbandar,IN,82.35,clear sky,21.6422,69.6093,Lords Inn Porbandar
92,Ranong,TH,79.7,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
95,Puerto Ayora,EC,79.0,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
96,Veraval,IN,81.48,clear sky,20.9,70.3667,Lords Inn Somnath
98,Bengkulu,ID,75.0,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
115,Dores Do Indaia,BR,83.23,scattered clouds,-19.4633,-45.6017,Hotel Central Dorense
118,Butaritari,KI,82.51,broken clouds,3.0707,172.7902,Isles Sunset Lodge
121,Hithadhoo,MV,83.55,clear sky,-0.6,73.0833,Scoop Guest House
124,Sambava,MG,77.11,light rain,-14.2667,50.1667,Melrose
127,Arraial Do Cabo,BR,80.6,clear sky,-22.9661,-42.0278,Pousada Porto Praia
128,Fare,PF,81.75,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
130,Kulachi,PK,81.46,clear sky,31.9286,70.4592,Technical Zafran Mobile Zon kulachi
135,Goksun,TR,78.8,scattered clouds,38.021,36.4973,Tuğçe Otel
137,Meulaboh,ID,78.37,overcast clouds,4.1363,96.1285,Kost Pria
139,Eyl,SO,82.26,clear sky,7.9803,49.8164,Amiin Hotel
143,Sao Jose Da Coroa Grande,BR,80.58,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
145,Cayenne,GF,82.4,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
146,Chandbali,IN,80.08,heavy intensity rain,20.7833,86.7667,KABITA HOMES
147,Mersing,MY,77.0,broken clouds,2.4312,103.8405,Timotel Hotel
150,Wajir,KE,86.0,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
164,Cape Town,ZA,78.8,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
167,Felipe Carrillo Puerto,MX,88.56,overcast clouds,19.5833,-88.05,Hotel La Ceiba
169,Kudahuvadhoo,MV,83.75,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
170,Omboue,GA,79.48,overcast clouds,-1.5746,9.2618,Hotel Olako
174,Mangai,CD,78.03,overcast clouds,-4.05,19.5333,
175,Cabedelo,BR,78.8,broken clouds,-6.9811,-34.8339,Hotel Pigalle
183,Sola,VU,82.51,broken clouds,-13.8833,167.55,Leumerus Bungalows
184,Bosaso,SO,82.62,scattered clouds,11.2842,49.1816,Red Sea Hotel
192,Matara,LK,79.41,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
194,Waddan,LY,81.09,overcast clouds,29.1614,16.139,محل الشريف محمد العايب
195,Saint-Philippe,RE,77.0,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
198,Kouango,CF,83.53,broken clouds,4.9934,19.9619,
203,Yaan,NG,89.4,overcast clouds,7.3833,8.5667,
211,Acapulco,MX,82.4,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
216,Itarema,BR,83.5,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
219,Garowe,SO,80.56,clear sky,8.4054,48.4845,Curubo Hotel
220,Lazaro Cardenas,MX,81.59,clear sky,17.9583,-102.2,Hotel Quinta Antigua
229,Karratha,AU,80.67,clear sky,-20.7377,116.8463,ibis Styles Karratha
232,Harper,LR,84.29,broken clouds,4.375,-7.7169,Screensaver
234,Bathsheba,BB,86.0,scattered clouds,13.2167,-59.5167,Atlantis Hotel
237,Quatre Cocos,MU,77.0,moderate rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
242,Boende,CD,81.36,overcast clouds,-0.2167,20.8667,
243,Merauke,ID,76.5,moderate rain,-8.4667,140.3333,
246,The Valley,AI,86.0,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
257,Sabang,ID,84.09,scattered clouds,5.8933,95.3214,Hotel Citra
258,Mahebourg,MU,77.0,moderate rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
263,Puerto Princesa,PH,78.64,overcast clouds,9.7392,118.7353,Deep Forest Garden Inn
267,Stabat,ID,78.8,haze,3.761,98.4513,Link VII damai
268,Sattur,IN,82.4,scattered clouds,9.3667,77.9333,Jaypriya Residency
