City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dzhebariki-Khaya,RU,62.2167,135.8,18.88,90,100,5.86,overcast clouds
1,Baghdad,IQ,33.3406,44.4009,84.2,26,0,3.44,clear sky
2,New Norfolk,AU,-42.7826,147.0587,54.0,76,100,1.01,overcast clouds
3,Sobolevo,RU,54.4299,31.8996,44.33,83,95,10.47,overcast clouds
4,Kapaa,US,22.0752,-159.319,69.8,78,90,4.61,overcast clouds
5,Airai,TL,-8.9266,125.4092,56.7,78,80,2.39,broken clouds
6,Barrow,US,71.2906,-156.7887,17.6,86,1,10.36,clear sky
7,Thompson,CA,55.7435,-97.8558,21.2,49,1,11.5,clear sky
8,Rosetta,EG,31.4044,30.4164,86.0,37,0,6.91,clear sky
9,Dondo,MZ,-19.6094,34.7431,75.2,64,40,4.7,scattered clouds
10,Nikolskoye,RU,59.7035,30.7861,53.6,32,0,13.42,clear sky
11,Kaitangata,NZ,-46.2817,169.8464,60.01,50,73,15.01,broken clouds
12,Bluff,NZ,-46.6,168.3333,55.0,83,80,10.0,broken clouds
13,Mount Gambier,AU,-37.8333,140.7667,50.0,100,40,10.36,scattered clouds
14,Klaksvik,FO,62.2266,-6.589,44.6,76,75,4.61,broken clouds
15,Rikitea,PF,-23.1203,-134.9692,76.96,74,2,7.18,clear sky
16,Grand Gaube,MU,-20.0064,57.6608,77.0,85,100,3.0,light rain
17,Namibe,AO,-15.1961,12.1522,81.41,70,20,11.03,few clouds
18,Punta Arenas,CL,-53.15,-70.9167,50.0,71,0,3.44,clear sky
19,Mahwa,IN,27.0471,76.9288,87.6,12,10,4.59,clear sky
20,Faanui,PF,-16.4833,-151.75,82.02,72,9,11.61,clear sky
21,Vaini,TO,-21.2,-175.2,68.0,94,20,2.3,few clouds
22,Camopi,GF,3.1655,-52.3158,80.85,81,84,4.0,broken clouds
23,Rawson,AR,-43.3002,-65.1023,75.85,33,67,15.77,broken clouds
24,Albany,US,42.6001,-73.9662,55.4,58,75,8.05,broken clouds
25,Hervey Bay,AU,-25.2986,152.8535,63.0,85,0,4.0,clear sky
26,Ushuaia,AR,-54.8,-68.3,57.2,51,20,20.71,few clouds
27,Georgetown,MY,5.4112,100.3354,84.2,79,40,2.3,scattered clouds
28,Tasiilaq,GL,65.6145,-37.6368,24.8,68,20,9.22,few clouds
29,Atuona,PF,-9.8,-139.0333,80.87,71,92,16.11,overcast clouds
30,Russellville,US,35.2784,-93.1338,59.0,71,75,4.61,broken clouds
31,Tete,MZ,-16.1564,33.5867,75.2,60,75,5.75,broken clouds
32,Longyearbyen,SJ,78.2186,15.6401,30.2,80,75,14.97,broken clouds
33,Hilo,US,19.7297,-155.09,66.2,72,1,4.61,clear sky
34,Winneba,GH,5.3511,-0.6231,84.2,79,20,14.97,few clouds
35,Cabo San Lucas,MX,22.8909,-109.9124,79.0,46,1,3.44,clear sky
36,Kirya,TZ,-3.9167,37.4833,71.26,83,97,14.58,overcast clouds
37,Ambilobe,MG,-13.2,49.05,75.65,82,95,4.79,overcast clouds
38,Sebinkarahisar,TR,40.2883,38.4236,55.0,69,100,2.26,light rain
39,Buribay,RU,51.9617,58.1592,51.76,62,35,15.05,scattered clouds
40,Yellowknife,CA,62.456,-114.3525,32.0,74,40,9.22,scattered clouds
41,Itaituba,BR,-4.2761,-55.9836,78.8,94,90,5.75,overcast clouds
42,Port Hardy,CA,50.6996,-127.4199,51.8,71,20,3.44,few clouds
43,Mendi,PG,-6.1761,143.6513,54.34,97,100,2.95,overcast clouds
44,Bud,US,39.447,-86.1758,60.01,31,1,5.75,clear sky
45,Bulawayo,ZW,-20.15,28.5833,57.11,47,0,7.7,clear sky
46,Beringovskiy,RU,63.05,179.3167,25.63,99,100,4.09,overcast clouds
47,Mandera,KE,3.9366,41.867,88.38,48,98,7.96,overcast clouds
48,Nome,US,64.5011,-165.4064,30.99,69,1,5.75,clear sky
49,Egvekinot,RU,66.3167,-179.1667,23.72,97,100,9.95,snow
50,Muscat,OM,23.6139,58.5922,82.4,74,0,4.61,clear sky
51,Bambous Virieux,MU,-20.3428,57.7575,77.0,94,75,16.11,moderate rain
52,Moindou,NC,-21.6924,165.677,68.0,94,0,3.44,clear sky
53,Hovd,MN,48.0056,91.6419,45.12,29,2,9.71,clear sky
54,Marsa Matruh,EG,31.3525,27.2453,77.0,44,75,8.05,haze
55,Tuktoyaktuk,CA,69.4541,-133.0374,17.6,86,20,5.75,few clouds
56,Jamestown,US,42.097,-79.2353,53.01,50,75,5.75,broken clouds
57,Port Blair,IN,11.6667,92.75,82.08,75,42,6.93,scattered clouds
58,Angoche,MZ,-16.2325,39.9086,74.35,72,24,11.36,few clouds
59,Rio Grande,BR,-32.035,-52.0986,78.8,57,20,11.5,few clouds
60,Port Alfred,ZA,-33.5906,26.891,72.95,62,0,5.68,clear sky
61,Chifeng,CN,42.2683,118.9636,55.36,19,49,11.39,scattered clouds
62,Dikson,RU,73.5069,80.5464,-5.39,100,98,3.87,overcast clouds
63,Port Elizabeth,ZA,-33.918,25.5701,73.4,38,0,2.3,clear sky
64,Nantucket,US,41.2835,-70.0995,50.0,66,40,14.97,scattered clouds
65,Saint Anthony,US,45.0205,-93.218,59.0,38,1,5.75,clear sky
66,Tucupita,VE,9.0622,-62.051,89.49,43,94,6.35,overcast clouds
67,Salamiyah,SY,35.0113,37.0532,79.5,27,38,6.06,scattered clouds
68,Mataura,NZ,-46.1927,168.8643,55.0,83,86,10.0,overcast clouds
69,Kirakira,SB,-10.4544,161.9205,79.65,84,65,5.19,broken clouds
70,Portales,US,34.1862,-103.3344,53.01,37,1,4.61,clear sky
71,East London,ZA,-33.0153,27.9116,73.4,56,0,6.91,clear sky
72,Pevek,RU,69.7008,170.3133,19.18,80,83,21.5,broken clouds
73,Buraydah,SA,26.326,43.975,87.8,20,0,3.44,clear sky
74,Panaba,MX,21.2833,-88.2667,95.32,39,29,12.93,scattered clouds
75,Constitucion,CL,-35.3333,-72.4167,65.01,58,47,4.92,scattered clouds
76,Parfino,RU,57.9731,31.6481,50.68,52,21,9.04,few clouds
77,Malynivka,UA,49.8167,36.7333,46.4,87,40,6.71,light rain
78,Saint-Augustin,CA,51.226,-58.6502,41.0,73,100,22.01,overcast clouds
79,Qaanaaq,GL,77.484,-69.3632,5.4,71,100,8.28,overcast clouds
80,Hobart,AU,-42.8794,147.3294,55.4,58,40,13.8,scattered clouds
81,Kavaratti,IN,10.5669,72.642,84.72,68,59,7.05,broken clouds
82,Bredasdorp,ZA,-34.5322,20.0403,77.0,20,9,5.75,clear sky
83,Khatanga,RU,71.9667,102.5,-0.94,95,100,7.94,overcast clouds
84,Luau,AO,-10.7073,22.2247,68.04,82,61,2.66,broken clouds
85,Bethel,US,41.3712,-73.414,60.01,41,1,8.05,clear sky
